Item,Quantity,Price(no shipping/taxes),Source,Notes,Owned/Buying
DC Motor,1,$13.35,https://www.aliexpress.com/item/3256807142640791.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%2029.02%21USD%2013.35%21%21USD%2013.35%21%21%21%402103146c17528271595267798ef8ea%2112000040287640067%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"24V, Worm gear, 27rpm, drives extruder",Buying
Kobalt 24V Battery,1,$28.35,https://www.aliexpress.com/item/3256808341351094.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%2098.74%21USD%2028.35%21%21USD%2028.35%21%21%21%402103146c17528271595267798ef8ea%2112000045570945299%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"Any Ah, mines 6.0Ah, Powers whole thing",Buying
100k Resistor,1,$1.27,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,For thermistor logic,Owned
10k Resistor,1,$1.34,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,Heater gate pulldown,Owned
220R Resistor,1,$1.35,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,Heater gate drive,Owned
2 Pin JST XH Female,2,$2.37,https://www.aliexpress.com/item/3256803235887618.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.49%21USD%202.37%21%21USD%202.37%21%21%21%402103146c17528270600956401ef8ea%2112000025716082487%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For fan and thermistor,Owned
18 AWG Wire,~2 meters,$2.11,https://www.aliexpress.com/item/3256806379805687.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.20%21USD%202.11%21%21USD%202.11%21%21%21%402103146c17528270600956401ef8ea%2112000037691464120%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,Wiring everything,Owned
Arduino Nano,1,$2.94,https://www.aliexpress.com/item/3256806587205161.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.94%21USD%202.94%21%21USD%202.94%21%21%21%402103146c17528270600956401ef8ea%2112000038256018925%21ct%21US%212965353747%21%211%210&_gl=1*6iw3e9*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"Type C, Microprocessor",Buying
M3 Heatset Inserts,~18,$2.05,https://www.aliexpress.com/item/3256803396040989.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.17%21USD%202.05%21%21USD%202.05%21%21%21%402103146c17528270600956401ef8ea%2112000026370649758%21ct%21US%212965353747%21%211%210&_gl=1*6iw3e9*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"M3x5x4, Gives 3D printed parts threads",Owned
M3x6 Screws,~11,$2.04,https://www.aliexpress.com/item/3256806983352954.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%204.09%21USD%202.04%21%21USD%202.04%21%21%21%402103146c17528270600956401ef8ea%2112000039685363236%21ct%21US%212965353747%21%211%210&_gl=1*6iw3e9*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"For mounting pcb, battery terminal, and handle",Owned
