Item,Quantity,Price(no shipping/taxes),Source,Notes,Owned/Buying
M3x8 Screws,~2,$2.14,https://www.aliexpress.com/item/3256806983352954.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%204.24%21USD%202.12%21%21USD%202.12%21%21%21%402103146c17528270600956401ef8ea%2112000039685363239%21ct%21US%212965353747%21%211%210&_gl=1*6iw3e9*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For Orbiter mount,Owned
M3x10 Screws,~4,$1.38,https://www.aliexpress.com/item/3256805692722422.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%201.42%21USD%201.38%21%21USD%201.38%21%21%21%402103146c17528270600956401ef8ea%2112000034679037237%21ct%21US%212965353747%21%211%210&_gl=1*6iw3e9*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For mounting Hotend mount and hotend clamp,Owned
M4x8 Screws,8,$2.03,https://www.aliexpress.com/item/3256806983352954.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%204.05%21USD%202.03%21%21USD%202.03%21%21%21%402103146c17528270600956401ef8ea%2112000049313623910%21ct%21US%212965353747%21%211%210&_gl=1*1cp6qeh*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For motor mounting,Owned
Orbiter Gears,1,$23.32,https://www.aliexpress.com/item/3256802185372532.html?spm=a2g0o.cart.0.0.755738daqLWaOW&mp=1&pdp_npi=5%40dis%21USD%21USD%2023.32%21USD%2023.32%21%21USD%2023.32%21%21%21%402103146c17528269270114546ef8ea%2112000020383149424%21ct%21US%212965353747%21%211%210&_gl=1*zzjcrw*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjY4NTgkajU3JGwwJGgw,Extruder drive gears,Buying
Orbiter Handle Shell,1,$3.17,https://www.aliexpress.com/item/3256802185372532.html?spm=a2g0o.cart.0.0.755738daqLWaOW&mp=1&pdp_npi=5%40dis%21USD%21USD%203.17%21USD%203.17%21%21USD%203.17%21%21%21%402103146c17528269270114546ef8ea%2112000020383149423%21ct%21US%212965353747%21%211%210&_gl=1*zzjcrw*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjY4NTgkajU3JGwwJGgw,Extruder lever + shaft,Buying
Orbiter Handle Screw,1,$2.67,https://www.aliexpress.com/item/3256802185372532.html?spm=a2g0o.cart.0.0.755738daqLWaOW&mp=1&pdp_npi=5%40dis%21USD%21USD%202.67%21USD%202.67%21%21USD%202.67%21%21%21%402103146c17528269270114546ef8ea%2112000020383149428%21ct%21US%212965353747%21%211%210&_gl=1*zzjcrw*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjY4NTgkajU3JGwwJGgw,Extruder lever screw/spring,Buying
Alternative Full Orbiter,1,$30.30,https://www.aliexpress.us/item/3256803143364574.html?spm=a2g0o.productlist.main.3.32711918kejPC1&algo_pvid=031a119a-d9e4-4ec0-9dbd-65a221c951d0&algo_exp_id=031a119a-d9e4-4ec0-9dbd-65a221c951d0-2&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2136.80%2130.30%21%21%2136.80%2130.30%21%40210337c117528255697113962ecb0f%2112000028794303599%21sea%21US%212965353747%21X&curPageLogUid=faCfA8m1JzG1&utparam-url=scene%3Asearch%7Cquery_from%3A,"Around same price as above but full kit, worse parts",NOT Buying
PTFE Tube,1,$1.83,https://www.aliexpress.com/item/3256808595111724.html?spm=a2g0o.cart.0.0.755738daqLWaOW&mp=1&pdp_npi=5%40dis%21USD%21USD%201.90%21USD%201.83%21%21USD%201.83%21%21%21%402103146c17528268578343657ef8ea%2112000046644154648%21ct%21US%212965353747%21%211%210&_gl=1*14pyl8l*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjY4NTgkajU3JGwwJGgw,"Between extruder and hotend, need very little",Owned
Spade Terminals,2,$2.38,https://www.aliexpress.com/item/3256802579044914.html?spm=a2g0o.cart.0.0.755738daqLWaOW&mp=1&pdp_npi=5%40dis%21USD%21USD%202.48%21USD%202.38%21%21USD%202.38%21%21%21%402103146c17528268578343657ef8ea%2112000022078614610%21ct%21US%212965353747%21%211%210&_gl=1*14pyl8l*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjY4NTgkajU3JGwwJGgw,For battery connection,Owned
Custom PCB,1,$5.40,https://jlcpcb.com/?from=VGSU&utm_source=google&utm_medium=cpc&utm_campaign=14179457750&gad_source=1&gad_campaignid=14179457750&gbraid=0AAAAABS1QqnKxzJxFraqirNeN0Jsk7SAi&gclid=CjwKCAjw4efDBhATEiwAaDBpbgJS_HEbmtEoijaZsA4da2X2VfovqTt3S1jdUBIx32Qqjq6h8wbXnBoC3nMQAvD_BwE,For connecting all components,Buying
Total(No shipping/taxes): $148.12 ,,,,,
"My Total: $157.54 (with shipping/taxes, excluding owned items)",,,,,
